filepath,class,source
dataset\kaleng\20260901_141043_896075 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_141043_896075.jpg,kaleng,real
dataset\kaleng\20260901_141045_962822_kaleng_0.50 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_141045_962822_kaleng_0.50.jpg,kaleng,real
dataset\kaleng\20260901_141051_441381 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_141051_441381.jpg,kaleng,real
dataset\kaleng\20260901_143129_565628 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_143129_565628.jpg,kaleng,real
dataset\kaleng\20260901_143133_590477 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_143133_590477.jpg,kaleng,real
dataset\kaleng\20260901_143136_811397 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_143136_811397.jpg,kaleng,real
dataset\kaleng\20260901_143230_637793 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_143230_637793.jpg,kaleng,real
dataset\kaleng\20260901_143237_514508 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_143237_514508.jpg,kaleng,real
dataset\kaleng\20260901_143242_675253 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_143242_675253.jpg,kaleng,real
dataset\kaleng\20260901_143249_695875 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_143249_695875.jpg,kaleng,real
dataset\kaleng\20260901_143257_735124 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_143257_735124.jpg,kaleng,real
dataset\kaleng\20260901_143308_622169 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_143308_622169.jpg,kaleng,real
dataset\kaleng\20260901_143312_435895 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_143312_435895.jpg,kaleng,real
dataset\kaleng\20260901_143315_505470 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_143315_505470.jpg,kaleng,real
dataset\kaleng\20260901_143319_850881 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_143319_850881.jpg,kaleng,real
dataset\kaleng\20260901_203444_477821 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_203444_477821.jpg,kaleng,real
dataset\kaleng\20260901_203447_759568 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_203447_759568.jpg,kaleng,real
dataset\kaleng\20260901_203543_547141 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_203543_547141.jpg,kaleng,real
dataset\kaleng\20260901_203547_293270 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_203547_293270.jpg,kaleng,real
dataset\kaleng\20260901_203557_170174 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_203557_170174.jpg,kaleng,real
dataset\kaleng\20260901_203601_845753 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_203601_845753.jpg,kaleng,real
dataset\kaleng\20260901_203604_930833_kaleng_0.44 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_203604_930833_kaleng_0.44.jpg,kaleng,real
dataset\kaleng\20260901_203607_277717_plastik_0.43 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_203607_277717_plastik_0.43.jpg,kaleng,real
dataset\kaleng\20260901_203610_143138 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_203610_143138.jpg,kaleng,real
dataset\kaleng\20260901_203612_655770 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_203612_655770.jpg,kaleng,real
dataset\kaleng\20260901_211534_785838 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211534_785838 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211534_785838 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211534_785838.jpg,kaleng,real
dataset\kaleng\20260901_211540_156455 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211540_156455 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211540_156455 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211540_156455.jpg,kaleng,real
dataset\kaleng\20260901_211542_822291 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211542_822291 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211542_822291 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211542_822291.jpg,kaleng,real
dataset\kaleng\20260901_211546_484220 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211546_484220 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211546_484220 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211546_484220.jpg,kaleng,real
dataset\kaleng\20260901_211548_307069 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211548_307069 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211548_307069 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211548_307069.jpg,kaleng,real
dataset\kaleng\20260901_211551_250468 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211551_250468 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211551_250468 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211551_250468.jpg,kaleng,real
dataset\kaleng\20260901_211554_470281 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211554_470281 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211554_470281 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211554_470281.jpg,kaleng,real
dataset\kaleng\20260901_211622_359671 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211622_359671 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211622_359671 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211622_359671.jpg,kaleng,real
dataset\kaleng\20260901_211625_431851 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211625_431851 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211625_431851 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211625_431851.jpg,kaleng,real
dataset\kaleng\20260901_211628_865354 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211628_865354 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211628_865354 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211628_865354.jpg,kaleng,real
dataset\kaleng\20260901_211633_163135 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211633_163135 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211633_163135 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211633_163135.jpg,kaleng,real
dataset\kaleng\20260901_211635_047252 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211635_047252 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211635_047252 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211635_047252.jpg,kaleng,real
dataset\kaleng\20260901_211637_231253_plastik_0.59 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211637_231253_plastik_0.59 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211637_231253_plastik_0.59 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211637_231253_plastik_0.59.jpg,kaleng,real
dataset\kaleng\20260901_211640_023836 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211640_023836 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211640_023836 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211640_023836.jpg,kaleng,real
dataset\kaleng\20260901_211642_873443 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211642_873443 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211642_873443 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211642_873443.jpg,kaleng,real
dataset\kaleng\20260901_211646_357614 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211646_357614 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211646_357614 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211646_357614.jpg,kaleng,real
dataset\kaleng\20260901_211649_618434 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211649_618434 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211649_618434 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211649_618434.jpg,kaleng,real
dataset\kaleng\20260901_211656_068405 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211656_068405 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211656_068405 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211656_068405.jpg,kaleng,real
dataset\kaleng\20260901_211658_528750 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211658_528750 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211658_528750 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211658_528750.jpg,kaleng,real
dataset\kaleng\20260901_211700_546762 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211700_546762 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211700_546762 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211700_546762.jpg,kaleng,real
dataset\kaleng\20260901_211703_291924 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211703_291924 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211703_291924 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211703_291924.jpg,kaleng,real
dataset\kaleng\20260901_211730_713756 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211730_713756 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211730_713756 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211730_713756.jpg,kaleng,real
dataset\kaleng\20260901_211735_328756_daun_0.54 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211735_328756_daun_0.54 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211735_328756_daun_0.54 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211735_328756_daun_0.54.jpg,kaleng,real
dataset\kaleng\20260901_211738_139175 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211738_139175 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211738_139175 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211738_139175.jpg,kaleng,real
dataset\kaleng\20260901_211740_504787 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211740_504787 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211740_504787 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211740_504787.jpg,kaleng,real
dataset\kaleng\20260901_211742_956757 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211742_956757 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211742_956757 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211742_956757.jpg,kaleng,real
dataset\kaleng\20260901_211748_027833 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211748_027833 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211748_027833 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211748_027833.jpg,kaleng,real
dataset\kaleng\20260901_211751_897036 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211751_897036 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211751_897036 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211751_897036.jpg,kaleng,real
dataset\kaleng\20260901_211813_521916 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211813_521916 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211813_521916 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211813_521916.jpg,kaleng,real
dataset\kaleng\20260901_211822_263722_kertas_0.53 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211822_263722_kertas_0.53 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211822_263722_kertas_0.53 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211822_263722_kertas_0.53.jpg,kaleng,real
dataset\kaleng\20260901_211930_615995 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211930_615995 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211930_615995 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211930_615995.jpg,kaleng,real
dataset\kaleng\20260901_211934_484702 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211934_484702 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211934_484702 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211934_484702.jpg,kaleng,real
dataset\kaleng\20260901_211938_952273 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211938_952273 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211938_952273 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211938_952273.jpg,kaleng,real
dataset\kaleng\20260901_211942_008180 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211942_008180 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211942_008180 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211942_008180.jpg,kaleng,real
dataset\kaleng\20260901_211944_516131_plastik_0.58 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211944_516131_plastik_0.58 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211944_516131_plastik_0.58 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211944_516131_plastik_0.58.jpg,kaleng,real
dataset\kaleng\20260901_211947_687211 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_211947_687211 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211947_687211 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_211947_687211.jpg,kaleng,real
dataset\kaleng\20260901_212525_570463 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_212525_570463 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_212525_570463 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_212525_570463.jpg,kaleng,real
dataset\kaleng\20260901_212534_406686 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_212534_406686 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_212534_406686 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_212534_406686.jpg,kaleng,real
dataset\kaleng\20260901_212537_576446 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_212537_576446 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_212537_576446 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_212537_576446.jpg,kaleng,real
dataset\kaleng\20260901_212539_920032_kaleng_0.58 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_212539_920032_kaleng_0.58 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_212539_920032_kaleng_0.58 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_212539_920032_kaleng_0.58.jpg,kaleng,real
dataset\kaleng\20260901_212543_639512 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_212543_639512 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_212543_639512 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_212543_639512.jpg,kaleng,real
dataset\kaleng\20260901_212546_425076 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_212546_425076 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_212546_425076 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_212546_425076.jpg,kaleng,real
dataset\kaleng\20260901_212548_543555 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_212548_543555 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_212548_543555 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_212548_543555.jpg,kaleng,real
dataset\kaleng\20260901_214951_040909_kertas_0.49 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_214951_040909_kertas_0.49 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_214951_040909_kertas_0.49 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_214951_040909_kertas_0.49.jpg,kaleng,real
dataset\kaleng\20260901_214954_444076_kaleng_0.46 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_214954_444076_kaleng_0.46 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_214954_444076_kaleng_0.46 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_214954_444076_kaleng_0.46.jpg,kaleng,real
dataset\kaleng\20260901_215102_393485 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215102_393485 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215102_393485 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215102_393485.jpg,kaleng,real
dataset\kaleng\20260901_215105_042884 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215105_042884 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215105_042884 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215105_042884.jpg,kaleng,real
dataset\kaleng\20260901_215107_919431 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215107_919431 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215107_919431 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215107_919431.jpg,kaleng,real
dataset\kaleng\20260901_215205_238767 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215205_238767 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215205_238767 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215205_238767.jpg,kaleng,real
dataset\kaleng\20260901_215207_499973 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215207_499973 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215207_499973 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215207_499973.jpg,kaleng,real
dataset\kaleng\20260901_215209_795645 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215209_795645 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215209_795645 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215209_795645.jpg,kaleng,real
dataset\kaleng\20260901_215211_976025 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215211_976025 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215211_976025 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215211_976025.jpg,kaleng,real
dataset\kaleng\20260901_215213_877752 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215213_877752 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215213_877752 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215213_877752.jpg,kaleng,real
dataset\kaleng\20260901_215216_227722 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215216_227722 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215216_227722 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215216_227722.jpg,kaleng,real
dataset\kaleng\20260901_215217_987178 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215217_987178 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215217_987178 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215217_987178.jpg,kaleng,real
dataset\kaleng\20260901_215220_294484 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215220_294484 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215220_294484 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215220_294484.jpg,kaleng,real
dataset\kaleng\20260901_215321_742513 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215321_742513 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215321_742513 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215321_742513.jpg,kaleng,real
dataset\kaleng\20260901_215326_481193 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215326_481193 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215326_481193 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215326_481193.jpg,kaleng,real
dataset\kaleng\20260901_215329_337631 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215329_337631 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215329_337631 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215329_337631.jpg,kaleng,real
dataset\kaleng\20260901_215331_947629 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215331_947629 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215331_947629 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215331_947629.jpg,kaleng,real
dataset\kaleng\20260901_215334_659893 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215334_659893 - Copy - Copy.jpg,kaleng,real
